Entity,Code,Year,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in rivers and lakes
Americas (excl. USA),,2000,3986388
Americas (excl. USA),,2001,4271941
Americas (excl. USA),,2002,4576004
Americas (excl. USA),,2003,4896081
Americas (excl. USA),,2004,5235736
Americas (excl. USA),,2005,5589354
Americas (excl. USA),,2006,5963070
Americas (excl. USA),,2007,6357912
Americas (excl. USA),,2008,6750674
Americas (excl. USA),,2009,7154821
Americas (excl. USA),,2010,7583318
Americas (excl. USA),,2011,8024989
Americas (excl. USA),,2012,8476159
Americas (excl. USA),,2013,8939619
Americas (excl. USA),,2014,9408247
Americas (excl. USA),,2015,9900845
Americas (excl. USA),,2016,10389553
Americas (excl. USA),,2017,10880995
Americas (excl. USA),,2018,11380555
Americas (excl. USA),,2019,11886398
Asia (excl. China and India),,2000,5624027
Asia (excl. China and India),,2001,6066726
Asia (excl. China and India),,2002,6544227
Asia (excl. China and India),,2003,7054598
Asia (excl. China and India),,2004,7602656
Asia (excl. China and India),,2005,8181655
Asia (excl. China and India),,2006,8800673
Asia (excl. China and India),,2007,9461882
Asia (excl. China and India),,2008,10135043
Asia (excl. China and India),,2009,10839724
Asia (excl. China and India),,2010,11598776
Asia (excl. China and India),,2011,12397724
Asia (excl. China and India),,2012,13228620
Asia (excl. China and India),,2013,14099255
Asia (excl. China and India),,2014,15004411
Asia (excl. China and India),,2015,15957285
Asia (excl. China and India),,2016,16946236
Asia (excl. China and India),,2017,17985728
Asia (excl. China and India),,2018,19082068
Asia (excl. China and India),,2019,20188924
China,CHN,2000,6677970
China,CHN,2001,7404520
China,CHN,2002,8187070
China,CHN,2003,9019790
China,CHN,2004,9908770
China,CHN,2005,10840010
China,CHN,2006,11825540
China,CHN,2007,12865360
China,CHN,2008,13904850
China,CHN,2009,14970830
China,CHN,2010,16095289
China,CHN,2011,17254240
China,CHN,2012,18428210
China,CHN,2013,19606510
China,CHN,2014,20802120
China,CHN,2015,21990220
China,CHN,2016,23155390
China,CHN,2017,24293710
China,CHN,2018,25361890
China,CHN,2019,26455940
Europe,,2000,9576340
Europe,,2001,9976162
Europe,,2002,10380406
Europe,,2003,10784924
Europe,,2004,11191284
Europe,,2005,11592241
